centro_titularidad,centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion,centro_titular,contacto_email1,contacto_fax,contacto_telefono1,contacto_telefono2,contacto_telefono3,contacto_telefono4,contacto_web,dat_codigo,dat_nombre,direccion_codigo_postal,direccion_coor_x,direccion_coor_y,direccion_numero,direccion_via_nombre,direccion_via_tipo,distrito_codigo,distrito_nombre,municipio_codigo,municipio_nombre,promedio_x,promedio_y,distancia
PÚBLICO,28020934,CARDENAL CISNEROS,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.cardenalcisnero.madrid@educa.madrid.org,915216372,915224869,"","","",http://www.educa.madrid.org/ies.cardenalcisnero.madrid,5,Madrid-Capital,28015,439912,4475107,4,de los Reyes,CALLE,01,Centro,079,Madrid,440157.3842874543,4474481.943970768,671.4971989584209
PÚBLICO,28020946,SAN ISIDRO,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.sanisidro.madrid@educa.madrid.org,913656833,913651271,"","","",http://www.educa.madrid.org/ies.sanisidro.madrid,5,Madrid-Capital,28005,439982,4473798,39,de Toledo,CALLE,01,Centro,079,Madrid,440157.3842874543,4474481.943970768,706.0729448403001
PÚBLICO,28020958,EMPERATRIZ MARIA DE AUSTRIA,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.emperatrizmaria.madrid@educa.madrid.org,915650794,914692425,915609505,"","",http://www.educa.madrid.org/ies.emperatrizmaria.madrid,5,Madrid-Capital,28019,439137,4470976,84,de Antonio de Leyva,CALLE,11,Carabanchel,079,Madrid,440157.3842874543,4474481.943970768,3651.414413654876
PÚBLICO,28020961,CALDERON DE LA BARCA,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.calderondelabar.madrid@educa.madrid.org,915650795,915608300,915609329,"","",http://www.educa.madrid.org/ies.calderondelabar.madrid,5,Madrid-Capital,28019,439137,4470976,84,de Antonio de Leyva,CALLE,11,Carabanchel,079,Madrid,440157.3842874543,4474481.943970768,3651.414413654876
PÚBLICO,28021008,VISTA ALEGRE,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.vistaalegre.madrid@educa.madrid.org,915258200,914628600,"","","",http://www.educa.madrid.org/ies.vistaalegre.madrid,5,Madrid-Capital,28025,437496,4470772,177,del General Ricardos,CALLE,11,Carabanchel,079,Madrid,440157.3842874543,4474481.943970768,4565.813245386288
PÚBLICO,28021045,PINTOR ROSALES,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.pintorrosales.madrid@educa.madrid.org,915638730,915623948,"","","",http://www.educa.madrid.org/cp.pintorrosales.madrid,5,Madrid-Capital,28002,442443,4477317,139,del Príncipe de Vergara,CALLE,05,Chamartín,079,Madrid,440157.3842874543,4474481.943970768,3641.6454899292057
PÚBLICO,28021057,JORGE GUILLEN,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.jorgeguillen.madrid@educa.madrid.org,917393801,917393801,"","","",http://www.educa.madrid.org/cp.jorgeguillen.madrid,5,Madrid-Capital,28029,440014,4480763,47,de El Ferrol,AVDA,08,Fuencarral-El Pardo,079,Madrid,440157.3842874543,4474481.943970768,6282.692408215063
PRIVADO CONCERTADO,28021070,C.R.E. ANTONIO VICENTE MOSQUETE,021,CPR EE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,O.N.C.E.,cc.vicentemosquete.madrid@educa.madrid.org,913535640,913535600,"","","",http://www.educa.madrid.org/cc.vicentemosquete.madrid,5,Madrid-Capital,28030,446148,4473226,"",del Doctor García Tapia c/v a C/ Oberón,AVDA,14,Moratalaz,079,Madrid,440264.7489361702,4474293.580851064,5979.328720986436
PRIVADO,28021100,COLEGIO MADRID PINAR,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",ELMARMAREL ESCUELAS S.L.,secretariaesoybach@colegio-madrid.es,"",913020706,"","","",wwwmadridcolegio.es,5,Madrid-Capital,28033,443606,4480542,101,de Mesena,CALLE,15,Ciudad Lineal,079,Madrid,439602.9362934363,4476838.754826255,5453.305773168447
PÚBLICO,28021124,ARQUITECTO GAUDI,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.arquitectogaudi.madrid@educa.madrid.org,913506564,913506564,"","","",http://www.educa.madrid.org/cp.arquitectogaudi.madrid,5,Madrid-Capital,28016,443258,4479638,10,de Rosa Jardón,CALLE,05,Chamartín,079,Madrid,440157.3842874543,4474481.943970768,6016.538171861554
PÚBLICO,28021148,MARQUES DE SUANZES,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.marquesdesuanzes.madrid@educa.madrid.org,913203617,917412072,"","","",http://www.educa.madrid.org/cp.marquesdesuanzes.madrid,5,Madrid-Capital,28027,447014,4477128,1,del Veinticinco de Septiembre,AVDA,20,San Blas-Canillejas,079,Madrid,440157.3842874543,4474481.943970768,7349.475596215331
PÚBLICO,28021151,PRINCESA SOFIA,020,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,AYUNTAMIENTO,cpee.princesasofia.madrid@educa.madrid.org,913881650,913883106,"","","",http://www.educa.madrid.org/cpee.princesasofia.madrid,5,Madrid-Capital,28043,445310,4479460,51,de Canillas,CTRA,16,Hortaleza,079,Madrid,440157.3842874543,4474481.943970768,7164.530027248685
PÚBLICO,28021161,FRANCISCO DEL POZO,020,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,AYUNTAMIENTO,cpee.franciscodelpozo.madrid@educa.madrid.org,913580485,913584287,917293559,"","",http://www.educa.madrid.org/cpee.franciscodelpozo.madrid,5,Madrid-Capital,28034,441833,4482843,6,de Dómine,CLLON,08,Fuencarral-El Pardo,079,Madrid,440157.3842874543,4474481.943970768,8527.305901636839
PÚBLICO,28021173,FUNDACION GOYENECHE,020,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,AYUNTAMIENTO,cpee.goyeneche.madrid@educa.madrid.org,913066006,913240763,913065879,"","",http://www.educa.madrid.org/cpee.goyeneche.madrid,5,Madrid-Capital,28037,447307,4474654,22,de Arcos de Jalón,CALLE,20,San Blas-Canillejas,079,Madrid,440157.3842874543,4474481.943970768,7151.685683408874
PÚBLICO,28021215,ANTONIO DE NEBRIJA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.antoniodenebrija.madrid@educa.madrid.org,915051317,917963500,"","","",http://www.educa.madrid.org/cp.antoniodenebrija.madrid,5,Madrid-Capital,28021,441729,4467042,77,de Juan José Martínez Seco,CALLE,17,Villaverde,079,Madrid,440157.3842874543,4474481.943970768,7604.126658340481
PÚBLICO,28021252,PACIFICO,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.pacifico.madrid@educa.madrid.org,914340337,915523979,915525705,"","",http://www.educa.madrid.org/ies.pacifico.madrid,5,Madrid-Capital,28007,443257,4472824,41,de Luis Mitjans,CALLE,03,Retiro,079,Madrid,440157.3842874543,4474481.943970768,3515.1665359788285
PÚBLICO,28021291,FILOSOFO SENECA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.seneca.madrid@educa.madrid.org,913817216,917638145,"","","",http://www.educa.madrid.org/cp.seneca.madrid,5,Madrid-Capital,28033,444885,4481055,21,de Santa Adela,CALLE,16,Hortaleza,079,Madrid,440157.3842874543,4474481.943970768,8096.629909347158
PÚBLICO,28021306,JOAQUIN TURINA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.joaquinturina.madrid@educa.madrid.org,913022741,913025556,"","","",http://www.educa.madrid.org/cp.joaquinturina.madrid,5,Madrid-Capital,28033,443537,4481318,332,de Arturo Soria,CALLE,15,Ciudad Lineal,079,Madrid,440157.3842874543,4474481.943970768,7625.8418813458175
PÚBLICO,28021318,CONCHA ESPINA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.conchaespina.madrid@educa.madrid.org,917772584,917781461,"","","",http://www.educa.madrid.org/cp.conchaespina.madrid,5,Madrid-Capital,28018,445331,4470755,6,de Gerardo Diego,CALLE,13,Puente de Vallecas,079,Madrid,440157.3842874543,4474481.943970768,6376.237989782221
PÚBLICO,28021321,RABINDRANATH TAGORE,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.tagore.madrid@educa.madrid.org,913232892,917332373,"","","",http://www.educa.madrid.org/cp.tagore.madrid,5,Madrid-Capital,28029,441052,4481613,35,de Julio Palacios,CALLE,08,Fuencarral-El Pardo,079,Madrid,440157.3842874543,4474481.943970768,7186.953274175562
PÚBLICO,28021331,BRAVO MURILLO,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.bravomurillo.madrid@educa.madrid.org,917385793,917385793,"","","",http://www.educa.madrid.org/cp.bravomurillo.madrid,5,Madrid-Capital,28035,439144,4481376,11,de las Islas Cíes,CALLE,08,Fuencarral-El Pardo,079,Madrid,440157.3842874543,4474481.943970768,6968.138650188613
PÚBLICO,28021355,LA PALMA,103,E ARTE,ESCUELA DE ARTE,COMUNIDAD DE MADRID,ea.lapalma.madrid@educa.madrid.org,915226594,915216232,915222788,"","",http://www.educa.madrid.org/ea.lapalma.madrid,5,Madrid-Capital,28004,440118,4475346,46,de la Palma,CALLE,01,Centro,079,Madrid,440157.3842874543,4474481.943970768,864.9531454077917
PÚBLICO,28021367,LUIS CERNUDA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.luiscernuda.madrid@educa.madrid.org,913002732,913002732,917219794,"","",http://www.educa.madrid.org/cp.luiscernuda.madrid,5,Madrid-Capital,28043,444555,4479168,64,del Carril del Conde,CALLE,16,Hortaleza,079,Madrid,440157.3842874543,4474481.943970768,6426.363284497105
PÚBLICO,28021409,ESPERANZA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.esperanza.madrid@educa.madrid.org,913003012,913003012,"","","",http://www.educa.madrid.org/cp.esperanza.madrid,5,Madrid-Capital,28043,445238,4479144,12,de Andorra,CALLE,16,Hortaleza,079,Madrid,440157.3842874543,4474481.943970768,6895.463903050084
PÚBLICO,28021422,DOCTOR SEVERO OCHOA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.severoochoa.madrid@educa.madrid.org,917750711,917752715,"","","",http://www.educa.madrid.org/cp.severoochoa.madrid,5,Madrid-Capital,28032,447929,4473487,3,de Ezcaray,CALLE,19,Vicálvaro,079,Madrid,440157.3842874543,4474481.943970768,7835.044625811285
PÚBLICO,28021434,PIO BAROJA,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.piobaroja.madrid@educa.madrid.org,917739618,917739618,913713235,"","",http://www.educa.madrid.org/cp.piobaroja.madrid,5,Madrid-Capital,28030,445942,4472748,84,de Luis de Hoyos Sáinz,CALLE,14,Moratalaz,079,Madrid,440157.3842874543,4474481.943970768,6038.9022707436225
PÚBLICO,28021446,DANIEL VAZQUEZ DIAZ,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.vazquezdiaz.madrid@educa.madrid.org,913117764,914505842,"","","",http://www.educa.madrid.org/cp.vazquezdiaz.madrid,5,Madrid-Capital,28039,439554,4479592,46,de Armenteros,CALLE,09,Moncloa-Aravaca,079,Madrid,440157.3842874543,4474481.943970768,5145.5558708694725
PÚBLICO,28021461,JOSE ORTEGA Y GASSET,014,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COMUNIDAD DE MADRID,cp.ortegaygasset.madrid@educa.madrid.org,915701341,915720997,"","","",http://www.educa.madrid.org/cp.ortegaygasset.madrid,5,Madrid-Capital,28020,441143,4479231,87,de Orense,CALLE,06,Tetuán,079,Madrid,440157.3842874543,4474481.943970768,4850.254787287349
PÚBLICO,28021549,PALOMERAS VALLECAS,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.palomerasvallecas.madrid@educa.madrid.org,913325458,913314503,913314560,"","",http://www.educa.madrid.org/ies.palomerasvallecas.madrid,5,Madrid-Capital,28031,446561,4471020,4,de Mercator,CALLE,13,Puente de Vallecas,079,Madrid,440157.3842874543,4474481.943970768,7279.515797819076
PÚBLICO,28021550,GARCIA MORATO,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,MINISTERIO DE DEFENSA,ies.garciamorato.madrid@educa.madrid.org,917066145,917050818,917056300,"","",http://www.educa.madrid.org/ies.garciamorato.madrid,5,Madrid-Capital,28044,434827,4469571,34,del General Saliquet,CALLE,10,Latina,079,Madrid,440157.3842874543,4474481.943970768,7247.783615420658
PÚBLICO,28021562,GRAN CAPITÁN,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,MINISTERIO DE DEFENSA,ies.grancapitan.madrid@educa.madrid.org,913661507,913659190,913655012,"","",http://www.educa.madrid.org/ies.grancapitan.madrid,5,Madrid-Capital,28005,438900,4472822,51,de los Melancólicos,PASEO,02,Arganzuela,079,Madrid,440157.3842874543,4474481.943970768,2082.409477606476
PRIVADO,28021604,AFUERA I,058,CPR FPE,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,MERCEDES FUENTES AFUERA,pcedillo@afuera.com,914296406,914295151,914293616,"","",http://www.centroafuera.es,5,Madrid-Capital,28012,440507,4473984,13,de Santa Ana,PLAZA,01,Centro,079,Madrid,439602.9362934363,4476838.754826255,2994.4876529304265
PRIVADO CONCERTADO,28021641,MONSEÑOR ALVES BRAS,008,EIPR,ESCUELA INFANTIL PRIVADA,INSTITUTO SECULAR COOPERADORAS DE LA FAMILIA,cc.monsenoralvesbras.madrid@educa.madrid.org,917118051,915182640,915182642,"","","",5,Madrid-Capital,28024,434675,4472193,24,de Villaviciosa,CALLE,10,Latina,079,Madrid,440264.7489361702,4474293.580851064,5971.409639379363
PRIVADO CONCERTADO,28021665,LA ANUNCIATA,004,CPR INF,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,FUNDACION EDUCATIVA FRANCISCO COLL,cc.laanunciata.madrid@educa.madrid.org,917180338,917173838,"","","",http://www.laanunciataaluche.es,5,Madrid-Capital,28047,435982,4471931,55,de Camarena,CALLE,10,Latina,079,Madrid,440264.7489361702,4474293.580851064,4891.1886825271295
PRIVADO CONCERTADO,28021690,BERNADETTE,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","COSABER, SDAD. COOP. MADRILEÑA",cc.bernadette.madrid@educa.madrid.org,913070494,913071146,913071147,"","",http://www.educa.madrid.org/cc.bernadette.madrid,5,Madrid-Capital,28023,434622,4478391,1,de Santa Bernardita,CALLE,09,Moncloa-Aravaca,079,Madrid,440264.7489361702,4474293.580851064,6973.482576067477
PRIVADO,28021719,GUZMAN EL BUENO,045,CPR ES,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,"COLEGIO GUZMAN EL BUENO, S.L.",secretaria@guzmanelbueno.es,914167641,914150495,"","","",http://www.guzmanelbueno.es,5,Madrid-Capital,28002,442847,4477380,15,de Eugenio Salazar,CALLE,05,Chamartín,079,Madrid,439602.9362934363,4476838.754826255,3288.9049348295384
PRIVADO CONCERTADO,28021732,CENTRO NUEVO DE PEDAGOGIA,021,CPR EE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,"CENTRO NUEVO DE PEDAGOGIA, S.L.",cc.centronuevodepedagogia.madrid@educa.madrid.org,915635473,915635473,"","","",http://www.cndp.es,5,Madrid-Capital,28002,442113,4477774,6,del Tajo,CALLE,05,Chamartín,079,Madrid,440264.7489361702,4474293.580851064,3940.729557737752
PRIVADO,28021781,CUMBRE,045,CPR ES,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,"GENERAL DE DOCENCIA Y ENSEÑANZA, S.A.",cumbre@colegiocumbre.com,"",913592584,913594070,"","","",5,Madrid-Capital,28016,443216,4478911,25,de Costa Rica,CALLE,05,Chamartín,079,Madrid,439602.9362934363,4476838.754826255,4165.144584260776
PRIVADO CONCERTADO,28021823,ESTUDIO 3,021,CPR EE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,AFANIAS,cc.estudio3.madrid@educa.madrid.org,913071541,913071540,"","","",http://www.educa.madrid.org/cc.estudio3.madrid,5,Madrid-Capital,28029,439451,4480370,2,de Celanova,CALLE,08,Fuencarral-El Pardo,079,Madrid,440264.7489361702,4474293.580851064,6130.665298699109
PRIVADO,28021872,LYCEE FRANÇAIS (FRANCES),094,CEXTRAN ESP,CENTRO DOCENTE EXTRANJERO EN ESPAÑA,ESTADO FRANCES,etudesespagnoles@lfmadrid.org,913001952,917489490,917489493,"","",http://www.educa.madrid.org/ce.lyceefrancais.madrid,5,Madrid-Capital,28043,445460,4478731,1,del Liceo,PLAZA,16,Hortaleza,079,Madrid,439602.9362934363,4476838.754826255,6155.1431388966685
PRIVADO CONCERTADO,28021902,LA INMACULADA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION ESCOLAPIAS MONTAL,cc.lainmaculada-moncloa.madrid@educa.madrid.org,914597867,914500608,"","","",http://www.educa.madrid.org/cc.lainmaculada-moncloa.madrid,5,Madrid-Capital,28035,438411,4479179,9,de Navalperal,CALLE,09,Moncloa-Aravaca,079,Madrid,440264.7489361702,4474293.580851064,5225.294764809162
PRIVADO CONCERTADO,28021975,MIRASOL,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","FERNANDEZ ARENAS MIRASOL, S.L.",cc.mirasol.madrid@educa.madrid.org,917382088,917386100,646568453,"","",http://www.colegiomirasol.com,5,Madrid-Capital,28034,439522,4481830,4,de Peña Dorada,CALLE,08,Fuencarral-El Pardo,079,Madrid,440264.7489361702,4474293.580851064,7572.931372370293
PRIVADO CONCERTADO,28021999,LA NATIVIDAD,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",HIJAS DEL PATROCINIO DE MARIA,cc.lanatividad.madrid@educa.madrid.org,917924502,917924502,914751318,"","",http://www.educa.madrid.org/cc.lanatividad.madrid,5,Madrid-Capital,28041,441393,4468818,4,de Torrox,CALLE,12,Usera,079,Madrid,440264.7489361702,4474293.580851064,5590.611426272851
PRIVADO CONCERTADO,28022104,LOS OLMOS,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","FOMENTO DE CENTROS DE ENSEÑANZA, S.A.",cc.losolmos.madrid@educa.madrid.org,914009867,914009866,914009860,696673725,"",http://www.fomento.edu/losolmos,5,Madrid-Capital,28007,443397,4473632,13,de los Astros,CALLE,03,Retiro,079,Madrid,440264.7489361702,4474293.580851064,3201.356891906561
PRIVADO,28022128,LAS NACIONES,015,CPR INF-PRI,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,"ACTIV. CULT. CENTRO ENSEÑANZA ESTUDIO LAS NACIONES, S.L.UNIP",clglasnaciones@hotmail.com,"",914135276,"","","",www.estudiolasnaciones.com,5,Madrid-Capital,28016,443473,4478540,90,ALFONSO 13,AVDA,05,Chamartín,079,Madrid,439602.9362934363,4476838.754826255,4227.484859115636
PÚBLICO,28022207,CARMEN MARTÍN GAITE,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.carmenmartingai.moralzarzal@educa.madrid.org,918578929,918578517,"","","",http://www.educa.madrid.org/ies.carmenmartingai.moralzarzal,4,Madrid-Oeste,28411,417649,4503042,14,del Marqués de Santillana,AVDA,"","",090,Moralzarzal,440157.3842874543,4474481.943970768,36363.50043140241
PRIVADO,28022281,SANTA MONICA,008,EIPR,ESCUELA INFANTIL PRIVADA,MARIA ISABEL HIDALGO CASTRO - CARMEN OLIVA MARTIN,santamonica93@gmail.com,"",914649839,"","","","",5,Madrid-Capital,28011,436205,4473193,29,de Villamanín,CALLE,10,Latina,079,Madrid,439602.9362934363,4476838.754826255,4983.723438094664
PRIVADO CONCERTADO,28022323,TEIDE II,058,CPR FPE,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,SOCIEDAD COOPERATIVA MADRILEÑA TEIDE-HEASE,cc.teideii.madrid@educa.madrid.org,913487658,915483931,"","","",http://www.teideformacion.com,5,Madrid-Capital,28013,439841,4474146,49,Mayor,CALLE,01,Centro,079,Madrid,440264.7489361702,4474293.580851064,448.7129020946017
PRIVADO CONCERTADO,28022335,TRABENCO,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",ESENCO SOCIEDAD COOPERATIVA MADRILEÑA,cc.trabenco.madrid@educa.madrid.org,915079149,917856368,"","","",http://www.educa.madrid.org/cc.trabenco.madrid,5,Madrid-Capital,28053,444111,4469101,103,de la Reguera de Tomateros,CALLE,13,Puente de Vallecas,079,Madrid,440264.7489361702,4474293.580851064,6461.930295263882
PRIVADO,28022359,VIDA,008,EIPR,ESCUELA INFANTIL PRIVADA,MARIA ISABEL LASO GIMENEZ,centrovida@centrovida.es,"",914309859,616959534,"","",centrovida.es,5,Madrid-Capital,28030,444921,4473528,5,del Corregidor José de Pasamonte,CALLE,14,Moratalaz,079,Madrid,439602.9362934363,4476838.754826255,6264.41530445117
PRIVADO CONCERTADO,28022414,BIENAVENTURADA VIRGEN MARIA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",INSTITUTO BIENAVENTURADA VIRGEN MARIA,cc.bienaventuradavmaria.madrid@educa.madrid.org,915251742,914623372,914651718,"","",www.irlandesasmadrid.org,5,Madrid-Capital,28047,436573,4472018,17,de Cullera,CALLE,10,Latina,079,Madrid,440264.7489361702,4474293.580851064,4336.735917420286
PRIVADO CONCERTADO,28022426,BUENAFUENTE,021,CPR EE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,"COLEGIO BUENAFUENTE DE EDUCACION ESPECIAL,S.L",cc.buenafuente.madrid@educa.madrid.org,917422017,917422017,913205450,"","",http://www.colegiobuenafuente.com,5,Madrid-Capital,28002,442066,4478021,8,del Segre,CALLE,05,Chamartín,079,Madrid,440264.7489361702,4474293.580851064,4139.8259512692475
PRIVADO CONCERTADO,28022475,INSTITUCION PROFESIONAL SALESIANA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",INSTITUCION SALESIANA,cc.salesianoscarabanchel.madrid@educa.madrid.org,915086152,915087640,"","","",http://www.salesianoscarabanchel.com,5,Madrid-Capital,28044,436069,4469559,3,de Don Bosco,RONDA,11,Carabanchel,079,Madrid,440264.7489361702,4474293.580851064,6326.180915104766
PRIVADO CONCERTADO,28022487,NERVION,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","COLEGIO NERVION, S.L.",cc.nervion.madrid@educa.madrid.org,915629180,915623030,915626191,"","",http://www.educa.madrid.org/cc.nervion.madrid,5,Madrid-Capital,28002,441979,4477565,2,del Nervión,CALLE,05,Chamartín,079,Madrid,440264.7489361702,4474293.580851064,3693.35077644493
PRIVADO CONCERTADO,28022499,NUESTRA SEÑORA DE FATIMA,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",CLERIGOS DE SAN VIATOR,cc.nsdefatima.madrid@educa.madrid.org,914761234,914757880,"","","",http://www.educa.madrid.org/cc.nsdefatima.madrid,5,Madrid-Capital,28026,440501,4470697,30,de Manuel Muñoz,CALLE,12,Usera,079,Madrid,440264.7489361702,4474293.580851064,3604.3318914053157
PRIVADO CONCERTADO,28022505,PRIMERO DE MAYO,045,CPR ES,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,FUNDACION JOSE MARIA DE LLANOS,cc.primerodemayo.madrid@educa.madrid.org,91 7853571,917858955,917851043,"","",http://www.fundacionjosemariadellanos.es,5,Madrid-Capital,28053,443303,4469784,11,de los Barros,CALLE,13,Puente de Vallecas,079,Madrid,440264.7489361702,4474293.580851064,5437.581169890402
PRIVADO CONCERTADO,28022529,CERVANTES,015,CPR INF-PRI,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,"LA LEPIOTA, SDAD. COOP. MADRILEÑA",cc.cervantes.madrid@educa.madrid.org,914608036,914606748,633093749,627492714,"",http://www.colegiocervantescarabanchel.es,5,Madrid-Capital,28025,438441,4470761,2,de Elvas,CALLE,11,Carabanchel,079,Madrid,440264.7489361702,4474293.580851064,3975.5738770001994
PRIVADO CONCERTADO,28022566,COLEGIO DE JESUS,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",FUNDACION EDUCACION CATOLICA,cc.colegiodejesus.madrid@educa.madrid.org,"",917477022,"","","",http://www.colegiodejesus.org,5,Madrid-Capital,28042,450411,4480399,18,del Timón,CALLE,21,Barajas,079,Madrid,440264.7489361702,4474293.580851064,11841.560439167686
PRIVADO CONCERTADO,28022578,JOSE RAMON OTERO,058,CPR FPE,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,"COOP. DE ENSEÑANZA JOSE RAMON OTERO, SDAD. COOP. MADRILEÑA",cc.joseramonotero.madrid@educa.madrid.org,914644276,914635593,"","","",https://www.jrotero.com/nuestro-centro/,5,Madrid-Capital,28011,437323,4473472,1,de Francisco Brizuela,CALLE,10,Latina,079,Madrid,440264.7489361702,4474293.580851064,3054.321839343979
PRIVADO CONCERTADO,28022633,NUESTRA SEÑORA DE LAS DELICIAS,072,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",ARZOBISPADO DE MADRID,cc.nsdelasdelicias.madrid@educa.madrid.org,915280168,915274934,915273078,"","",http://www.educa.madrid.org/cc.nsdelasdelicias.madrid,5,Madrid-Capital,28045,441105,4472155,67,de las Delicias,PASEO,02,Arganzuela,079,Madrid,440264.7489361702,4474293.580851064,2297.727117567494
PÚBLICO,28022724,CIUDAD ESCOLAR,042,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,COMUNIDAD DE MADRID,ies.ciudadescolar.madrid@educa.madrid.org,917352541,917341244,917342700,"","",http://www.educa.madrid.org/ies.ciudadescolar.madrid,5,Madrid-Capital,28049,441939,4486204,"k12,8",de Colmenar Viejo,CTRA,08,Fuencarral-El Pardo,079,Madrid,440157.3842874543,4474481.943970768,11856.675423559891
